"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 11:29:54 GMT 2024","Fri Jul 12 11:29:56 GMT 2024","1560","chromium","elements.spec.js","Validate Elements on the Main Page","","","@category: Elements on the page",""
"passed","Fri Jul 12 11:29:56 GMT 2024","Fri Jul 12 11:29:59 GMT 2024","3745","chromium","forms.spec.js","Check Forms functionality","","","@category: Get In Touch",""
"passed","Fri Jul 12 11:29:54 GMT 2024","Fri Jul 12 11:30:05 GMT 2024","10077","chromium","navigation.spec.js","Test navigation on the site","","","@category: Navigation",""
