"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 11:40:30 GMT 2024","Fri Jul 12 11:40:32 GMT 2024","2396","chromium","forms.spec.js","Check Forms functionality","","","@category: Get In Touch",""
"passed","Fri Jul 12 11:40:28 GMT 2024","Fri Jul 12 11:40:35 GMT 2024","6940","chromium","navigation.spec.js","Test navigation on the site","","","@category: Navigation",""
"passed","Fri Jul 12 11:40:28 GMT 2024","Fri Jul 12 11:40:31 GMT 2024","2105","chromium","elements.spec.js","Validate Elements on the Main Page","","","@category: Elements on the page",""
